system:time_start,anomaly
"Jan 1, 2020",0.017
"Feb 1, 2020",7.96
"Mar 1, 2020",-8.212
"Apr 1, 2020",-29.183
"May 1, 2020",-24.275
"Jun 1, 2020",-22.013
"Jul 1, 2020",-25.017
"Aug 1, 2020",-18.441
"Sep 1, 2020",-10.376
"Oct 1, 2020",1.131
"Nov 1, 2020",-4.962
"Dec 1, 2020",-10.591
"Jan 1, 2021",11.375
"Feb 1, 2021",6.971
"Mar 1, 2021",-0.384
"Apr 1, 2021",-19.738
"May 1, 2021",-10.103
"Jun 1, 2021",-6.904
"Jul 1, 2021",-12.308
"Aug 1, 2021",-2.383
"Sep 1, 2021",-3.197
"Oct 1, 2021",1.161
"Nov 1, 2021",3.692
"Dec 1, 2021",-8.805
"Jan 1, 2022",12.468
"Feb 1, 2022",25.01
"Mar 1, 2022",-0.601
"Apr 1, 2022",-18.258
"May 1, 2022",-11.451
"Jun 1, 2022",-3.623
"Jul 1, 2022",-5.522
"Aug 1, 2022",4.471
"Sep 1, 2022",20.276
"Oct 1, 2022",25.766
"Nov 1, 2022",8.881
"Dec 1, 2022",12.276
"Jan 1, 2023",22.242
"Feb 1, 2023",25.734
"Mar 1, 2023",33.358
"Apr 1, 2023",2.474
"May 1, 2023",12.452
"Jun 1, 2023",19.763
"Jul 1, 2023",17.43
"Aug 1, 2023",22.488
"Sep 1, 2023",29.597
"Oct 1, 2023",23.641
"Nov 1, 2023",-0.579
"Dec 1, 2023",14.909
