system:time_start,methane
"Jan 1, 2020","1,853.688"
"Feb 1, 2020","1,860.879"
"Mar 1, 2020","1,842.018"
"Apr 1, 2020","1,817.183"
"May 1, 2020","1,825.803"
"Jun 1, 2020","1,828.471"
"Jul 1, 2020","1,825.149"
"Aug 1, 2020","1,830.734"
"Sep 1, 2020","1,839.683"
"Oct 1, 2020","1,851.377"
"Nov 1, 2020","1,841.217"
"Dec 1, 2020","1,840.703"
"Jan 1, 2021","1,863.705"
"Feb 1, 2021","1,858.408"
"Mar 1, 2021","1,849.502"
"Apr 1, 2021","1,823.487"
"May 1, 2021","1,840.295"
"Jun 1, 2021","1,843.364"
"Jul 1, 2021","1,838.039"
"Aug 1, 2021","1,847.848"
"Sep 1, 2021","1,846.98"
"Oct 1, 2021","1,851.116"
"Nov 1, 2021","1,852.323"
"Dec 1, 2021","1,836.936"
"Jan 1, 2022","1,865.729"
"Feb 1, 2022","1,880.867"
"Mar 1, 2022","1,851.58"
"Apr 1, 2022","1,833.659"
"May 1, 2022","1,838.892"
"Jun 1, 2022","1,846.905"
"Jul 1, 2022","1,844.839"
"Aug 1, 2022","1,852.559"
"Sep 1, 2022","1,869.147"
"Oct 1, 2022","1,874.924"
"Nov 1, 2022","1,859.007"
"Dec 1, 2022","1,864.515"
"Jan 1, 2023","1,877.23"
"Feb 1, 2023","1,881.464"
"Mar 1, 2023","1,887.008"
"Apr 1, 2023","1,853.893"
"May 1, 2023","1,863.705"
"Jun 1, 2023","1,870.756"
"Jul 1, 2023","1,868.269"
"Aug 1, 2023","1,873.698"
"Sep 1, 2023","1,879.988"
"Oct 1, 2023","1,875.308"
"Nov 1, 2023","1,853.489"
"Dec 1, 2023","1,866.03"
